原柱前734年6月29日 镜田域，镜山：乌祖珥∙贡统一镜山三大部落建立镜山大部，建成镜山天座
原柱前411年15月8日 萍泽域，夏明泷：夏明泷学院都建城
原柱前367年7月31日 龙使域，神明海岸：六位初代大神仆于地下龙脊晶石上方建立古夜氏城
原柱前298年13月11日 萍泽域，南疆：南疆学院都建城
原柱前79年末月3日 萍泽域，夏明泷：夏明泷都城学院分为竹藤院与茗草院
原柱前14年末月14日 龙使域，神明海岸：阿廖莎∙尼库伊出生于古夜氏城
原柱前13年7月32日 龙使域，神明海岸：西里萨奇∙莫塔奇出生于古夜氏城
原柱前12年3月7日 龙使域，神明海岸：阿麦哈∙魁佐出生于古夜氏城
原柱前9年10月8日 萍泽域，夏明泷：乐金擎通出生于四洲城外不远的乐金族府
原柱元年1月1日 龙使域，北方海岸：潘娜菲尔∙阿利修斯铸造完成原柱，建立骑士与城堡之联盟
原柱元年14月26日 萍泽域，夏明泷：乐金家族在夏明泷西南五族之争中被灭门，只有乐金擎通一人幸存
原柱6年3月17日 镜田域，清蒙：兵瀛天建立冶武司，自称武皇
原柱7年10月2日 萍泽域，夏明泷：乐金擎通、烟野莫风建立夏明泷与南疆家族联盟
原柱9年9月27日 镜田域，清蒙：兵瀛天扶持查亭礼建立英埀皇朝
原柱10年6月9日 镜田域，镜山：兵瀛天登上镜山天座，镜山三大部落收归英埀皇朝
原柱58年13月3日 萍泽域，夏明泷：亭上炁正出生于夏明泷南海岸附近的青渠镇
原柱62年8月9日 萍泽域，夏明泷：阿廖莎∙尼库依于青渠镇收亭上炁正为徒
原柱72年3月13日 萍泽域，夏明泷：阿廖莎∙尼库伊在夏明泷南海岸一处崖洞中逝世
原柱72年5月30日 萍泽域，夏明泷：亭上炁正建立冥府
原柱109年末月10日 镜田域，清蒙：冶武司武皇德牧逼迫英埀皇朝皇帝查颜喜退位
原柱109年末月11日 镜田域，清蒙：冶武司武皇德牧自立为大皇，建立钦武皇朝
原柱110年1月19日 镜田域，镜山：镜山大部大酋长奇瞳∙努宣布不承认钦武皇朝的统治，脱离清蒙治下
原柱111年5月28日 镜田域，清蒙：句虎刺杀德牧，被奉为冶武司武皇
原柱111年5月31日 镜田域，清蒙：句虎扶持卓山清建立天络皇朝
原柱399年6月32日 镜田域，清蒙：冶武司武皇柯奇年携六郡叛变，脱离天络皇朝
原柱399年14月7日 镜田域，清蒙：天络皇朝皇帝卓申良亲带近卫将柯奇年斩杀于冶武司中，取缔冶武司
原柱427年7月13日 镜田域，镜山：胡骨∙兀赞以萃饮毒杀古夜氏两位大神仆
原柱427年7月29日 龙使域，神明海岸：镜山大部兵临古夜氏城下，古夜氏剩余大神仆毁城自杀
原柱442年1月13日 龙使域，南方海岸：阿希琉斯∙亚贡姆斯携南方七大家族脱离骑士与城堡之联盟，在星降城建立南方神圣王国
原柱497年13月27日 萍泽域，南疆：祭山家族宣布脱离夏明泷与南疆家族联盟
原柱497年15月3日 萍泽域，南疆：祭山家族获得南疆多数家族支持后，夏明泷与南疆家族联盟分裂为夏明泷家族联盟与南疆联盟
